,Name,Position,Club,Nationality,Age,Height,Weight
401,Ki Sung-Yueng,Midfielder,Newcastle,South Korea,30,189cm,75kg
402,Jonjo Shelvey,Midfielder,Newcastle,England,27,184cm,80kg
403,Matt Ritchie,Midfielder,Newcastle,Scotland,30,172cm,76kg
404,Isaac Hayden,Midfielder,Newcastle,England,24,185cm,79kg
405,Miguel Almirón,Midfielder,Newcastle,Paraguay,25,174cm,70kg
406,Christian Atsu,Midfielder,Newcastle,Ghana,27,165cm,65kg
407,Sean Longstaff,Midfielder,Newcastle,England,22,180cm,65kg
408,Matthew Longstaff,Midfielder,Newcastle,England,19,,
409,Yoshinori Muto,Forward,Newcastle,Japan,27,178cm,72kg
410,Joelinton,Forward,Newcastle,Brazil,23,186cm,81kg
411,Allan Saint-Maximin,Forward,Newcastle,France,22,173cm,67kg
412,Dwight Gayle,Forward,Newcastle,England,29,174cm,78kg
413,Andy Carroll,Forward,Newcastle,England,30,193cm,79kg
414,Tim Krul,Goalkeeper,Norwich,Netherlands,31,188cm,84kg
415,Michael McGovern,Goalkeeper,Norwich,Northern Ireland,35,191cm,89kg
416,Ralf Fährmann,Goalkeeper,Norwich  (Loan),Germany,31,197cm,98kg
417,Archie Mair,Goalkeeper,Norwich,Scotland,18,198cm,
418,Christoph Zimmermann,Defender,Norwich,Germany,26,194cm,92kg
419,Jamal Lewis,Defender,Norwich,Northern Ireland,21,178cm,70kg
420,Timm Klose,Defender,Norwich,Switzerland,31,193cm,87kg
421,Philip Heise,Defender,Norwich,Germany,28,184cm,78kg
422,Grant Hanley,Defender,Norwich,Scotland,28,187cm,81kg
423,Max Aarons,Defender,Norwich,England,19,178cm,69kg
424,Sam Byram,Defender,Norwich,England,26,180cm,72kg
425,Akin Famewo,Defender,Norwich,England,21,187cm,66kg
426,Ben Godfrey,Midfielder,Norwich,England,21,183cm,74kg
427,Mario Vrancic,Midfielder,Norwich,Bosnia And Herzegovina,30,187cm,78kg
428,Moritz Leitner,Midfielder,Norwich,Germany,27,174cm,69kg
429,Emiliano Buendía,Midfielder,Norwich,Argentina,22,172cm,72kg
430,Marco Stiepermann,Midfielder,Norwich,Germany,28,190cm,86kg
431,Tom Trybull,Midfielder,Norwich,Germany,26,181cm,72kg
432,Kenny McLean,Midfielder,Norwich,Scotland,27,183cm,70kg
433,Onel Hernández,Midfielder,Norwich,Cuba,26,172cm,76kg
434,Alexander Tettey,Midfielder,Norwich,Norway,33,180cm,76kg
435,Todd Cantwell,Midfielder,Norwich,England,21,177cm,70kg
436,Patrick Roberts,Midfielder,Norwich  (Loan),England,22,168cm,58kg
437,Ibrahim Amadou,Midfielder,Norwich  (Loan),Cameroon,26,183cm,81kg
438,Louis Thompson,Midfielder,Norwich  (Loan),Wales,25,180cm,75kg
439,Teemu Pukki,Forward,Norwich,Finland,29,180cm,80kg
440,Dennis Srbeny,Forward,Norwich,Germany,25,190cm,83kg
441,Josip Drmic,Forward,Norwich,Switzerland,27,183cm,81kg
442,Adam Idah,Forward,Norwich,Ireland,18,190cm,83kg
443,Simon Moore,Goalkeeper,Sheffield Utd,England,29,191cm,83kg
444,Dean Henderson,Goalkeeper,Sheffield Utd  (Loan),England,22,188cm,85kg
445,Michael Verrips,Goalkeeper,Sheffield Utd,Netherlands,23,195cm,93kg
446,George Baldock,Defender,Sheffield Utd,England,26,178cm,71kg
447,Enda Stevens,Defender,Sheffield Utd,Ireland,29,183cm,78kg
448,Jack O'Connell,Defender,Sheffield Utd,England,25,190cm,85kg
449,Chris Basham,Defender,Sheffield Utd,England,31,190cm,80kg
450,John Egan,Defender,Sheffield Utd,Ireland,27,185cm,75kg
451,Kieron Freeman,Defender,Sheffield Utd,Wales,27,178cm,79kg
452,Richard Stearman,Defender,Sheffield Utd,England,32,191cm,73kg
453,Kean Bryan,Defender,Sheffield Utd,England,23,185cm,72kg
454,Phil Jagielka,Defender,Sheffield Utd,England,37,180cm,87kg
455,John Lundstram,Midfielder,Sheffield Utd,England,25,181cm,74kg
456,John Fleck,Midfielder,Sheffield Utd,Scotland,28,170cm,72kg
457,Oliver Norwood,Midfielder,Sheffield Utd,Northern Ireland,28,180cm,75kg
458,Luke Freeman,Midfielder,Sheffield Utd,England,27,181cm,64kg
459,Ravel Morrison,Midfielder,Sheffield Utd,England,26,175cm,71kg
460,Ben Osborn,Midfielder,Sheffield Utd,England,25,176cm,75kg
461,Muhamed Besic,Midfielder,Sheffield Utd  (Loan),Bosnia And Herzegovina,27,180cm,80kg
462,Billy Sharp,Forward,Sheffield Utd,England,33,175cm,70kg
463,David McGoldrick,Forward,Sheffield Utd,Ireland,32,183cm,74kg
464,Callum Robinson,Forward,Sheffield Utd,Ireland,24,178cm,75kg
465,Lys Mousset,Forward,Sheffield Utd,France,23,184cm,80kg
466,Oliver McBurnie,Forward,Sheffield Utd,Scotland,23,188cm,79kg
467,Leon Clarke,Forward,Sheffield Utd,England,34,188cm,95kg
468,Alex McCarthy,Goalkeeper,Southampton,England,30,193cm,79kg
469,Angus Gunn,Goalkeeper,Southampton,England,23,196cm,77kg
470,Harry Lewis,Goalkeeper,Southampton,England,22,191cm,77kg
471,Maya Yoshida,Defender,Southampton,Japan,31,189cm,78kg
472,Jannik Vestergaard,Defender,Southampton,Denmark,27,199cm,96kg
473,Jack Stephens,Defender,Southampton,England,25,185cm,75kg
474,Ryan Bertrand,Defender,Southampton,England,30,179cm,85kg
475,Jan Bednarek,Defender,Southampton,Poland,23,189cm,77kg
476,Yan Valery,Defender,Southampton,France,20,180cm,85kg
477,Kayne Ramsay,Defender,Southampton,England,19,,
478,Cédric Soares,Defender,Southampton,Portugal,28,172cm,67kg
479,Jake Vokins,Defender,Southampton,England,19,,
480,Kevin Danso,Defender,Southampton  (Loan),Austria,21,190cm,87kg
481,Sam McQueen,Defender,Southampton,England,24,180cm,70kg
482,Oriol Romeu,Midfielder,Southampton,Spain,28,183cm,83kg
483,James Ward-Prowse,Midfielder,Southampton,England,25,173cm,66kg
484,Stuart Armstrong,Midfielder,Southampton,Scotland,27,183cm,75kg
485,Nathan Redmond,Midfielder,Southampton,England,25,173cm,69kg
486,Pierre-Emile Højbjerg,Midfielder,Southampton,Denmark,24,185cm,84kg
487,Callum Slattery,Midfielder,Southampton,England,20,175cm,
488,Moussa Djenepo,Midfielder,Southampton,Mali,21,177cm,65kg
489,Sofiane Boufal,Midfielder,Southampton,Morocco,26,170cm,60kg
490,William Smallbone,Midfielder,Southampton,Ireland,19,,
491,Shane Long,Forward,Southampton,Ireland,32,178cm,81kg
492,Michael Obafemi,Forward,Southampton,Ireland,19,169cm,71kg
493,Che Adams,Midfielder,Southampton,England,23,175cm,70kg
494,Danny Ings,Forward,Southampton  (Loan),England,27,178cm,73kg
495,Daniel N'Lundulu,Forward,Southampton,England,20,,
496,Hugo Lloris,Goalkeeper,Spurs,France,32,188cm,82kg
497,Paulo Gazzaniga,Goalkeeper,Spurs,Argentina,27,196cm,90kg
498,Alfie Whiteman,Goalkeeper,Spurs,England,21,189cm,84kg
499,Michel Vorm,Goalkeeper,Spurs,Netherlands,36,183cm,84kg
500,Brandon Austin,Goalkeeper,Spurs,England,20,188cm,82kg
501,Danny Rose,Defender,Spurs,England,29,173cm,72kg
502,Toby Alderweireld,Defender,Spurs,Belgium,30,187cm,90kg
503,Jan Vertonghen,Defender,Spurs,Belgium,32,189cm,87kg
504,Davinson Sánchez,Defender,Spurs,Colombia,23,187cm,81kg
505,Kyle Walker-Peters,Defender,Spurs,England,22,173cm,62kg
506,Juan Foyth,Defender,Spurs,Argentina,21,179cm,69kg
507,Serge Aurier,Defender,Spurs,Cote D'Ivoire,27,176cm,76kg
508,Ben Davies,Defender,Spurs,Wales,26,181cm,76kg
509,Japhet Tanganga,Defender,Spurs,England,20,184cm,76kg
510,Harry Winks,Midfielder,Spurs,England,23,178cm,65kg
511,Erik Lamela,Midfielder,Spurs,Argentina,27,181cm,79kg
512,Victor Wanyama,Midfielder,Spurs,Kenya,28,188cm,80kg
513,Eric Dier,Midfielder,Spurs,England,25,188cm,88kg
514,Moussa Sissoko,Midfielder,Spurs,France,30,187cm,83kg
515,Dele Alli,Midfielder,Spurs,England,23,188cm,76kg
516,Christian Eriksen,Midfielder,Spurs,Denmark,27,182cm,76kg
517,Lucas Moura,Midfielder,Spurs,Brazil,27,172cm,72kg
518,Tanguy Ndombele,Midfielder,Spurs,France,22,181cm,76kg
519,Oliver Skipp,Midfielder,Spurs,England,19,175cm,70kg
520,Giovani Lo Celso,Midfielder,Spurs  (Loan),Argentina,23,177cm,68kg
521,Ryan Sessegnon,Midfielder,Spurs,England,19,178cm,70kg
522,Son Heung-Min,Forward,Spurs,South Korea,27,183cm,78kg
523,Harry Kane,Forward,Spurs,England,26,188cm,86kg
524,Troy Parrott,Forward,Spurs,Ireland,17,185cm,73kg
525,Ben Foster,Goalkeeper,Watford,England,36,193cm,79kg
526,Pontus Dahlberg,Goalkeeper,Watford,Sweden,20,194cm,84kg
527,Daniel Bachmann,Goalkeeper,Watford,Austria,25,191cm,81kg
528,Heurelho Gomes,Goalkeeper,Watford,Brazil,38,191cm,91kg
529,Daryl Janmaat,Defender,Watford,Netherlands,30,185cm,80kg
530,Sebastian Prödl,Defender,Watford,Austria,32,194cm,92kg
531,Adrian Mariappa,Defender,Watford,Jamaica,33,180cm,78kg
532,Adam Masina,Defender,Watford,Italy,25,189cm,78kg
533,Craig Cathcart,Defender,Watford,Northern Ireland,30,188cm,73kg
534,Kiko Femenía,Defender,Watford,Spain,28,176cm,61kg
535,José Holebas,Defender,Watford,Greece,35,184cm,77kg
536,Christian Kabasele,Defender,Watford,Belgium,28,187cm,84kg
537,Craig Dawson,Defender,Watford,England,29,188cm,82kg
538,Dimitri Foulquier,Defender,Watford,Guadeloupe,26,183cm,72kg
539,Marvin Zeegelaar,Defender,Watford,Netherlands,29,186cm,84kg
540,Tom Cleverley,Midfielder,Watford,England,30,175cm,67kg
541,Nathaniel Chalobah,Midfielder,Watford,England,25,187cm,80kg
542,Abdoulaye Doucouré,Midfielder,Watford,France,26,184cm,75kg
543,Will Hughes,Midfielder,Watford,England,24,185cm,74kg
544,Domingos Quina,Midfielder,Watford,Portugal,20,179cm,72kg
545,Etienne Capoue,Midfielder,Watford,France,31,189cm,80kg
546,Roberto Pereyra,Midfielder,Watford,Argentina,28,182cm,77kg
547,Tom Dele-Bashiru,Midfielder,Watford,Nigeria,20,183cm,68kg
548,Gerard Deulofeu,Forward,Watford,Spain,25,177cm,73kg
549,Troy Deeney,Forward,Watford,England,31,183cm,90kg
550,Isaac Success,Forward,Watford,Nigeria,23,186cm,86kg
551,Andre Gray,Forward,Watford,England,28,178cm,83kg
552,Danny Welbeck,Forward,Watford,England,29,185cm,73kg
553,Ismaila Sarr,Forward,Watford,Senegal,21,185cm,76kg
554,Sam Dalby,Forward,Watford,England,20,,
555,Lukasz Fabianski,Goalkeeper,West Ham,Poland,34,190cm,83kg
556,Roberto Jiménez,Goalkeeper,West Ham,Spain,33,192cm,94kg
557,David Martin,Goalkeeper,West Ham,England,33,185cm,85kg
558,Winston Reid,Defender,West Ham,New Zealand,31,190cm,87kg
559,Aaron Cresswell,Defender,West Ham,England,30,170cm,66kg
560,Fabián Balbuena,Defender,West Ham,Paraguay,28,188cm,82kg
561,Pablo Zabaleta,Defender,West Ham,Argentina,34,176cm,74kg
562,Angelo Ogbonna,Defender,West Ham,Italy,31,191cm,86kg
563,Issa Diop,Defender,West Ham,France,22,194cm,92kg
564,Ryan Fredericks,Defender,West Ham,England,27,181cm,74kg
565,Arthur Masuaku,Defender,West Ham,The Democratic Republic Of Congo,26,179cm,70kg
566,Gonçalo Cardoso,Defender,West Ham,Portugal,19,189cm,83kg
567,Felipe Anderson,Midfielder,West Ham,Brazil,26,175cm,70kg
568,Manuel Lanzini,Midfielder,West Ham,Argentina,26,167cm,59kg
569,Robert Snodgrass,Midfielder,West Ham,Scotland,32,182cm,82kg
570,Carlos Sánchez,Midfielder,West Ham,Colombia,33,182cm,80kg
571,Mark Noble,Midfielder,West Ham,England,32,180cm,70kg
572,Jack Wilshere,Midfielder,West Ham,England,27,172cm,68kg
573,Michail Antonio,Midfielder,West Ham,England,29,180cm,82kg
574,Declan Rice,Defender,West Ham,England,20,185cm,76kg
575,Pablo Fornals,Midfielder,West Ham,Spain,23,178cm,67kg
576,Ben Johnson,Midfielder,West Ham,England,19,175cm,67kg
577,Conor Coventry,Midfielder,West Ham,Ireland,19,,
578,Nathan Holland,Midfielder,West Ham,England,21,178cm,70kg
579,Andriy Yarmolenko,Forward,West Ham,Ukraine,30,189cm,81kg
580,Xande Silva,Forward,West Ham,Portugal,22,177cm,69kg
581,Sébastien Haller,Forward,West Ham,France,25,190cm,82kg
582,Albian Ajeti,Forward,West Ham,Switzerland,22,183cm,78kg
583,Rui Patrício,Goalkeeper,Wolves,Portugal,31,190cm,84kg
584,John Ruddy,Goalkeeper,Wolves,England,33,193cm,97kg
585,Andreas Söndergaard,Goalkeeper,Wolves,Denmark,18,,
586,Matt Doherty,Defender,Wolves,Ireland,27,182cm,80kg
587,Ryan Bennett,Defender,Wolves,England,29,188cm,70kg
588,Willy Boly,Defender,Wolves,Cote D'Ivoire,28,195cm,92kg
589,Conor Coady,Midfielder,Wolves,England,26,185cm,73kg
590,Jonny,Defender,Wolves,Spain,25,175cm,70kg
591,Rúben Vinagre,Defender,Wolves,Portugal,20,174cm,64kg
592,Max Kilman,Defender,Wolves,England,22,,
593,Jesús Vallejo,Defender,Wolves  (Loan),Spain,22,184cm,79kg
594,Dion Sanderson,Defender,Wolves,England,20,,
595,Oskar Buur,Defender,Wolves,Denmark,21,178cm,65kg
596,Flávio Cristóvão,Defender,Wolves,Portugal,22,,
597,Lewis Richards,Defender,Wolves,Ireland,18,,
598,Rúben Neves,Midfielder,Wolves,Portugal,22,180cm,72kg
599,Morgan Gibbs-White,Midfielder,Wolves,England,19,171cm,
600,Romain Saïss,Midfielder,Wolves,Morocco,29,190cm,80kg
601,João Moutinho,Midfielder,Wolves,Portugal,33,170cm,61kg
602,Leander Dendoncker,Midfielder,Wolves,Belgium,24,188cm,76kg
603,Bruno Jordao,Midfielder,Wolves,Portugal,21,180cm,73kg
604,Taylor Perry,Midfielder,Wolves,England,18,,
605,Meritan Shabani,Midfielder,Wolves,Germany,20,185cm,78kg
606,Luke Cundle,Midfielder,Wolves,England,17,,
607,Terry Taylor,Midfielder,Wolves,Wales,18,,
608,Chem Campbell,Midfielder,Wolves,Wales,16,,
609,Owen Otasowie,Midfielder,Wolves,United States,18,183cm,82kg
610,Diogo Jota,Forward,Wolves,Portugal,23,178cm,70kg
611,Adama Traoré,Forward,Wolves,Spain,23,178cm,72kg
612,Raúl Jiménez,Forward,Wolves,Mexico,28,190cm,76kg
613,Patrick Cutrone,Forward,Wolves,Italy,21,183cm,75kg
614,Pedro Neto,Forward,Wolves,Portugal,19,172cm,69kg
615,Benny Ashley-Seal,Forward,Wolves,England,21,,
616,Austin Samuels,Forward,Wolves,England,19,,
